TaxaNo,Genus,Species,Feeding,ClassNo
334,Psammotaea,elongata,suspension,15
335,Solen,sp.,suspension,15
336,Meretrix,petechialis,suspension,15
337,Nerita,costata,browser,18
338,Haliotis,diversicolor,browser,18
339,Tectus,pyramis,unknown,18
454,Monodonta,lineata,Herbivore,18
341,Tridacna,maxima,unknown,15
451,Didacna,trigonoides,suspension,18
343,Nodilittorina,trochoides,unknown,18
344,Jouannetia,globulosa,unknown,15
345,Pinna,muricata,suspension,15
346,Septifer,virgatus,unknown,15
477,Protothaca,thaca,suspension,15
348,Trapezium,liratum,suspension,15
349,Pomatoleios,kraussii,suspension,19
350,varved sediment,sp.,unknown,20
351,biological limestone,sp.,unknown,20
352,mew of prey flesh,sp.,unknown,20
353,emperor penguin coll,sp.,unknown,20
354,Aquipectens,commutatus,suspension,15
355,Cardita,senegalensis,suspension,15
356,Crassatella,contraria,suspension,15
357,Glycemeris,concentrica,suspension,15
358,Glycemiris,violacescens,suspension,15
359,Laevicardium,crassum,suspension,15
360,Macoma,cumana,Deposit,15
361,Mactra,glabatra,suspension,15
362,Ostrea,stentina,suspension,15
363,Patella,intermédia,browser,15
364,Pitar,virgo,suspension,15
365,Solens,guineensis,suspension,15
366,Venus,rosalina,suspension,15
367,Anomia,ephippium,suspension,15
368,Modiolus,lulat,suspension,15
369,Zonari,Zonaria,unknown,15
370,Tellina,strigosa,unknown,15
371,Felania,circularis,unknown,15
372,Acesta,excavata,suspension,15
373,Pseudamussium,peslutrae,suspension,15
374,Balaenoptera,acutorostrata,migratory,10
375,Balaenoptera,borealis,migratory,10
376,Balaenoptera,musculus,migratory,10
377,Eubalaena,glacialis,migratory,10
378,Globicephala,melas,migratory,10
379,Hyperoodon,ampullatus,migratory,10
380,Lagenorhynchus,albirostris,migratory,10
381,Lagenorhynchus,acutus,migratory,10
382,Megaptera,novaeangliae,migratory,10
383,Mesoplodon,bidens,migratory,10
384,Physeter,catodon,migratory,10
385,Brachidontes,rodriguezii,suspension,15
386,Pitar,rostratus,suspension,15
